id,inn,address,lng,lat
7831808,8601049319.0,Ханты-Мансийск г+Чехова ул+70,69.049328,61.003642
9005710,7728900666.0, Москва г+ ул Амурская+ 7,37.767735,55.810152
7436034,7731433771.0, Москва г+ туп Магистральный 1-й+ 5А,37.531954,55.766131
4291208,277116358.0, Башкортостан Респ+ Уфа г+ Софьи Перовской ул,55.987689,54.698749
10092170,7731345620.0, Москва г+ Можайское ш.+29,37.422719,55.71878
280426,7810868630.0, Санкт-Петербург г+ Стачек пр-кт+47,30.25834,59.878432
3463728,7723736010.0, Москва г+ Космодамианская наб+4,37.638782,55.7456
9979695,7714956556.0, Москва г+ ул 8 Марта 4-я+ 6а,37.550226,55.803611
9239221,7810352821.0, Санкт-Петербург г+ Московское ш+13,30.350471,59.827026
7632564,274171840.0, Башкортостан Респ+ Уфа г+ Пушкина ул,55.938308,54.722992
280426,7810868630.0, Санкт-Петербург г+ Стачек пр-кт+47,30.25834,59.878432
9239221,7810352821.0, Санкт-Петербург г+ Московское ш+13,30.350471,59.827026
4291208,277116358.0, Москва г+ Тверская ул+22,37.600945,55.76759
6724483,1619001876.0, Татарстан Респ+ Казань г+ Родины ул,49.206091,55.767636
3690132,7814366367.0, Санкт-Петербург г+ Гребного канала наб.+1,30.243033,59.976765
6724483,1619001876.0, Татарстан Респ+ Казань г+ Родины ул,49.206091,55.767636
7486168,5032258410.0, Москва г+ Электрозаводская ул+24,37.707781,55.788976
9511254,7706429877.0, Москва г+ пр-кт Мичуринский+ 11,37.510134,55.698772
3690132,7814366367.0, Санкт-Петербург г+ Гребного канала наб.+1,30.243033,59.976765
10997715,5024195157.0, Москва г+ вн.тер.г. муниципальный округ Сокольники+ пер Колодезный,37.697388,55.797695
7025705,7202088233.0, Тюменская обл+ г Тюмень+ ул Новгородская,65.57795,57.159448
8149535,7325124442.0, Волгоградская обл+ г Волгоград+ ул им Солнечникова,44.411405,48.664361
8812442,5029189171.0, Московская обл+ Мытищи г+ Сукромка,37.711806,55.904528
9684203,7714380537.0, Москва г+ ул 8 Марта 4-я+ 6А,37.550226,55.803611
1778581,7801443529.0, Санкт-Петербург г+ 9-я Советская ул+4,30.314494,59.938676
9736645,9718005160.0, Москва г+ Сосенское п+ Николо-Хованская ул,37.458211,55.58551
9812659,9705069897.0, Москва г+ Большой Саввинский пер+17,37.565982,55.733077
9736645,9718005160.0, Москва г+ Сосенское п+ Николо-Хованская ул,37.458211,55.58551
