inn,id
5038038838,5872486
5027064258,5972153
5263038483,2341048
5027006369,6900709
7701651356,2996748
1414006922,4980670
3327332190,3867230
7816061297,7041303
3525048992,6840082
2515000365,5446585
3101000612,7244164
5902126804,2608351
523005733,4659067
7724745755,2083796
504007693,5591507
2901030646,1410906
9715447869,12154616
7709008852,6462814
3811167535,7906828
7810255553,5028116
1011005108,91738
2310111297,6320206
3250057750,611402
2624022344,6808260
7703595570,5052529
7743373485,11757735
3328412522,5665425
7728135831,7115565
3664004054,3971160
2465006513,5525079
5902115094,2606257
2539030721,5362511
2540277265,12183399
7704697207,5617920
5000000218,4619380
8608020333,3843416
5610247400,12041740
6731010189,3397072
9724011395,11310285
541001957,1740
2508045333,5476291
7702066809,6678813
7714863020,2142195
7814027004,7051564
6315336069,2983708
5025012896,5950195
3123040930,1105465
7714046959,4136308
5263001814,2372648
7706520156,2789845
6450042805,6277778
2466000401,5466240
3728001189,1807346
6013000288,6097592
6670160730,3400351
4006002065,5793466
7733799210,1608392
1653008582,6725963
2528000926,5483298
7705585440,4664933
7719243661,5334681
7720019008,7142336
7217000390,7031436
3906034170,5821596
7714406538,9894816
5534008911,6935964
3903008430,5832296
4023002467,5803013
7604156684,4344344
7017334036,7980233
9701004970,9359140
6228038066,3016871
3627008639,6825380
6312040240,3090099
2311011320,6755700
5029014809,5884142
9102046280,8963993
2304016990,6773791
4900013384,12073664
3128065293,3785890
7414000992,3719625
7707487078,12139560
541000015,6633437
3663001942,1778200
2108002261,5331882
7710478789,3985184
7736565404,2197947
8003021109,7081597
1830000270,576630
1510008048,6737252
5029022704,5883825
7830001839,7050133
5004000089,5945762
5038012910,5861991
5005001110,5949391
7705930343,3123748
7704040517,4411704
7731178063,6569696
7709502155,6662557
9715426146,11928206
1629003431,3148373
7726065829,6680818
7719741321,2351152
7802148357,6498776
5260280790,1281960
7710023855,2912700
7202255830,8186621
7805109540,1982827
7813427641,5042352
7806016873,7070666
7815014022,7048578
1655409759,10839026
7203014481,7024616
5047018669,6911177
7816131635,4915790
7838309590,1025772
2525003164,5733479
3444014787,5551345
7714938405,8609570
7706194960,4315526
7803058547,6384558
603282806,2656019
7709211195,6490769
4401159638,9108182
9728110446,12298774
3917000617,5783466
7708706004,2793258
317002279,6693745
7714938300,8582853
1659002192,6721645
7713161050,5261131
2536131136,6493894
2543028394,7948558
5047066775,4203459
2203003875,11130070
9701187346,11696627
266012678,6708423
6455010109,6234818
3207001905,5670950
7728786311,755019
8300003864,4032503
7224001941,7024683
7708280326,9603122
7801070620,2102889
7751241965,12055302
9722013742,11746675
6731028404,3155801
5046048999,5958193
7203047511,4213702
2809000390,6795863
7702020219,2474
7701969903,7365735
7730014425,4768782
5053033231,7577365
2306000450,6775319
7203075558,7074171
2126003691,5352926
2129003280,5353687
3235001826,5688989
1215048572,5127178
6312102986,3449437
2311011513,6754947
2104000471,5338812
1215014090,5096203
2902001119,1402098
1001010821,70753
1001001619,95243
2128007123,5357810
2129005369,5260273
6453009098,6232420
7705014485,7107628
2801014471,6793127
4633004190,2053068
1651000330,6743306
1215012600,5123155
1659000692,6744895
7710100355,6628918
7606011268,6536486
7811419726,1473581
3610007820,6821366
7714797240,3227586
2528000901,5482709
5238000045,6883492
1300008210,12299158
6686038662,8231640
4704057466,444841
2538066595,5729971
7730247451,10842493
7710442630,4465808
3528001689,6843500
7825405201,6379266
7808003527,6383065
7810182560,7059011
4632297547,12214954
7751046749,10234600
5250073875,11344705
7825697956,6335809
4401006783,6862799
2634011648,6817308
3123004106,1099254
7703058430,4548359
7704027964,6681722
7712103721,6665895
7708251822,9148619
2512300970,5504599
7206000783,7032205
6617006973,7000561
5407181328,6051148
5032001704,5842524
7817014691,7042376
7729279642,6532649
7813046090,7053371
5247003902,6889041
7714474168,11635499
3438004903,6849638
7830000352,7065030
6320010256,2926959
7826098137,3967441
7721001557,6621534
7722121864,7088858
273068738,669049
7825426522,6328791
7703627133,2364341
5042013917,5862989
7715677876,451762
3666003835,1764904
3445013151,5558474
7730045102,4296401
7801233786,1999526
5024236759,12268512
7723736010,3463728
2309001518,6777120
7733141647,7093132
3826003787,1575934
7703733340,3360728
7203151985,1468479
2801048449,6792435
3128001437,1160797
6163103892,576302
2310043720,6766426
2540220438,9742990
3729011599,3682947
1435023848,5000309
6316104945,9054318
4217159611,8290483
6905008053,3247678
7104007243,6377798
3818013189,1454551
1325019366,5048106
2123003936,5356324
2125002230,5282473
571001908,7668403
7813004340,4986140
3906151325,6120830
7719037926,4376697
5077000274,6901816
7728518506,2076456
3128041662,727656
1650201436,4574893
6318136702,1527096
5013048425,3527287
8603097950,3780827
6950144467,600477
7701039070,4599582
6454004416,6223166
3906154164,5876660
2722057024,5737140
5009048221,3860434
7717007644,4833429
7813432987,5524328
5079011585,3718347
7816020075,4949842
2635026460,6814373
1655171640,876734
1626007149,377025
7714739336,5666466
7810802206,3864987
5001008435,5948316
3232001641,5676729
5009007401,4170135
5015000725,5917223
7709051600,4482590
5406013497,1277743
903000442,139835
6672135384,3312388
7817012479,7042468
5040006209,5871270
6714011707,3390537
3906248599,610057
5207003751,5283608
5053031883,1831586
2508013074,5484611
7806056530,5088937
4632016605,2045084
6663071832,3439684
1215003701,5118490
7817014772,7043211
5031035348,4035773
2310012803,6766431
7826690713,4063641
7705199395,4153037
6213000133,3107244
1503015990,6753101
7714184250,4574184
2321010861,6762999
2279005551,1414733
7809006739,3958143
5506032020,6940945
5320013512,2253232
7802031020,6481913
6658065880,6976991
6658104017,1590996
6646008630,6977167
7812010171,4065798
2724075519,3907359
902010913,40032
6234015028,2714776
5022035172,3400652
7713030755,7131687
5405116154,6072503
3702032739,1774254
5410147327,1311578
5610004196,6924655
2311279944,10844611
7704127278,4545899
6453058803,6232404
277039262,6690155
1516610530,3859039
7805445260,833677
7806359535,2644910
4346054367,1097757
3906175051,6308250
4821002277,1865914
1516614408,6010669
6317070329,5983149
5032300711,10837093
3906178743,712039
3906165215,6041097
3812080453,594538
1831142398,737981
5406631510,1871938
7810402448,8202379
7820031866,7046798
5047271816,12075970
3906168960,4460889
5406999150,10970868
7810477235,6132097
2016079306,6364053
7814398182,4517933
7710422169,4667960
1001062611,75196
7801644289,8972017
2004001168,390585
6450010602,6265304
1513069433,10550354
2016080069,6430908
7735526040,4839152
5047065683,4164176
7813337589,3150846
101009232,3917703
7806362873,6113761
7810864675,2018474
4632037845,5109886
6732154539,10462112
608038551,9258455
4212030678,2063763
5904331950,9636204
3329011322,694495
3254513241,412804
9726005076,11747960
7536076100,1359579
1639034245,3756701
4332006959,9203152
7734737908,8957181
5001042130,4283414
1645023474,5607238
4907017444,1598709
7814614002,8559969
2706027992,5736779
5406632507,705020
5907035205,5451020
6143068209,3561151
7802398854,1778218
7840496161,8130220
5404087084,10977548
7447204568,111449
2337022044,9507836
1650272236,8125631
7814619177,8764114
7810477852,6100456
7810036953,3664215
5404087415,10983651
5404087133,10977929
5911011870,6154999
5203002940,3163293
7804312860,3610855
4826128700,10007611
5911037205,6154757
4705098144,12061257
3119005058,1234109
7840036608,9321643
7810486293,6285901
1660113330,3427279
7805390363,1807295
7804372770,1476168
7328507588,1346388
5504110121,2267010
7838408009,544770
2015040289,6364353
3525370906,9658788
7802729619,2883068
6623115917,9699423
